dataset,outlier_method,norm,metric,ari_mean,ari_min,ari_max,ari_std,acc_mean,acc_min,acc_max,acc_std,purity_mean,purity_std,silhouette_mean,silhouette_min,silhouette_max,silhouette_std
vertebral,iqr_1.2,none,chebyshev,0.4078802401218676,0.3750985367690604,0.4084300586758455,0.003528207869493,0.6069615384615384,0.5615384615384615,0.6076923076923076,0.0048557597105771,0.7344999999999999,0.0011480624274307,0.375025481930664,0.3513659646685162,0.3754442233932971,0.0026184900679936
vertebral,iqr_1.8,none,chebyshev,0.3962814346876558,0.3962814346876556,0.3962814346876556,2.220446049250313e-16,0.5728813559322034,0.5728813559322034,0.5728813559322034,0.0,0.7559322033898307,2.220446049250313e-16,0.3612852493262557,0.3612852493262555,0.3612852493262555,1.6653345369377348e-16
vertebral,none,none,cosine,0.4682246036718394,0.3823755882058497,0.522288126615259,0.039504757823652,0.6956774193548386,0.6258064516129033,0.7387096774193549,0.0325765567540213,0.7445483870967741,0.0054685744917578,0.6286533268666888,0.5823112588525677,0.660177518862891,0.0233290309685969
vertebral,zscore,minmax,cosine,0.4252603575827415,0.2426675857850829,0.4517008787607701,0.0440884408666812,0.6536577181208054,0.4765100671140939,0.6778523489932886,0.0324213697842001,0.7033557046979866,0.0165215216444176,0.3936483747010373,0.3565605583826201,0.4052173861216586,0.010537691602725
vertebral,zscore_2.5,none,chebyshev,0.4032661046509909,0.39921500068839,0.4094793786499408,0.0046728612259108,0.5801736111111111,0.5798611111111112,0.5833333333333334,0.0009936866681426,0.7549652777777779,0.001719013027012,0.3648011331919175,0.3639353482482169,0.3653391659223653,0.0006221186195619
vertebral,zscore_3.5,none,chebyshev,0.3659076072400547,0.3651458352400782,0.3744162383524163,0.0020853465689789,0.5685993485342022,0.5667752442996743,0.5830618892508144,0.0050947790999393,0.7524755700325733,0.00032410014238,0.3543100382040194,0.3532414133860203,0.361730035006032,0.0026086299092266
vertebral,zscore_robust,none,chebyshev,0.3627646274647499,0.3523377151721595,0.3799133030220962,0.0108756842553385,0.5614191419141914,0.5577557755775577,0.5676567656765676,0.0039020733056869,0.7495379537953795,0.0039020733056869,0.3570272406222752,0.3540745253339821,0.35848211330086,0.0017021310823793
vertebral,zscore_robust_2.5,minmax,cosine,0.4898057749711313,0.4795281073955667,0.5033307842409747,0.0057154681875419,0.6721160409556315,0.6689419795221843,0.6825938566552902,0.0057365303049139,0.7322525597269626,0.0029110447285378,0.4232159939204424,0.4214262429478522,0.4237309610427633,0.0003432903389052
vertebral,zscore_robust_3.5,none,chebyshev,0.3727468030653472,0.352499933921557,0.3906487380017245,0.0116672172958882,0.5603267973856207,0.5522875816993464,0.5686274509803921,0.0044189000637608,0.755718954248366,0.0042703053416248,0.3526667699954782,0.3502285179458505,0.3569341130920236,0.0020156861555837
wine,iqr,minmax,euclidean,0.9477552270733064,0.9477552270733064,0.9477552270733064,1.1102230246251563e-16,0.9813664596273292,0.9813664596273292,0.9813664596273292,0.0,0.9813664596273292,0.0,0.3157287958234431,0.3157287958234431,0.3157287958234431,0.0
wine,iqr,standard,euclidean,0.9477552270733064,0.9477552270733064,0.9477552270733064,1.1102230246251563e-16,0.9813664596273292,0.9813664596273292,0.9813664596273292,0.0,0.9813664596273292,0.0,0.3010147337033009,0.3010147337033009,0.3010147337033009,5.551115123125783e-17
wine,iqr_1.2,standard,euclidean,0.9405879139054388,0.9405879139054388,0.9405879139054388,0.0,0.9784172661870504,0.9784172661870504,0.9784172661870504,1.1102230246251563e-16,0.9784172661870504,1.1102230246251563e-16,0.3035547625661476,0.3035547625661476,0.3035547625661476,0.0
wine,iqr_1.2,robust,euclidean,0.9405879139054388,0.9405879139054388,0.9405879139054388,0.0,0.9784172661870504,0.9784172661870504,0.9784172661870504,1.1102230246251563e-16,0.9784172661870504,1.1102230246251563e-16,0.2874439287046352,0.2874439287046351,0.2874439287046351,5.551115123125783e-17
wine,iqr_1.8,standard,euclidean,0.9296219747855192,0.9296219747855194,0.9296219747855194,3.3306690738754696e-16,0.9761904761904764,0.9761904761904762,0.9761904761904762,2.220446049250313e-16,0.9761904761904764,2.220446049250313e-16,0.3007218727531481,0.3007218727531482,0.3007218727531482,5.551115123125783e-17
wine,none,minmax,manhattan,0.8974949815093208,0.8974949815093207,0.8974949815093207,1.1102230246251563e-16,0.9662921348314608,0.9662921348314608,0.9662921348314608,0.0,0.9662921348314608,0.0,0.3255916557391422,0.3255916557391422,0.3255916557391422,0.0
wine,none,standard,euclidean,0.8974949815093208,0.8974949815093207,0.8974949815093207,1.1102230246251563e-16,0.9662921348314608,0.9662921348314608,0.9662921348314608,0.0,0.9662921348314608,0.0,0.2848589191898986,0.2848589191898987,0.2848589191898987,5.551115123125783e-17
wine,zscore,minmax,euclidean,0.9367567819195484,0.8930985860859988,0.9484672118986744,0.0184902730446878,0.9783928571428574,0.9642857142857144,0.9821428571428572,0.0059318096912453,0.9783928571428574,0.0059318096912453,0.3134993134313841,0.3115847943273945,0.3138989300801262,0.0006661551290095
wine,zscore_2.5,standard,euclidean,0.9457805690509974,0.9457805690509976,0.9457805690509976,1.1102230246251563e-16,0.981132075471698,0.981132075471698,0.981132075471698,2.220446049250313e-16,0.981132075471698,2.220446049250313e-16,0.2987373441333676,0.2987373441333675,0.2987373441333675,5.551115123125783e-17
wine,zscore_2.5,robust,euclidean,0.9457805690509974,0.9457805690509976,0.9457805690509976,1.1102230246251563e-16,0.981132075471698,0.981132075471698,0.981132075471698,2.220446049250313e-16,0.981132075471698,2.220446049250313e-16,0.2792324415669244,0.2792324415669243,0.2792324415669243,5.551115123125783e-17
wine,zscore_3.5,robust,euclidean,0.9286481843752062,0.9286481843752064,0.9286481843752064,1.1102230246251563e-16,0.9771428571428568,0.9771428571428572,0.9771428571428572,3.3306690738754696e-16,0.9771428571428568,3.3306690738754696e-16,0.2715130071288182,0.2715130071288183,0.2715130071288183,1.1102230246251563e-16
wine,zscore_robust,minmax,manhattan,0.8958503364513463,0.8958503364513465,0.8958503364513465,2.220446049250313e-16,0.965714285714286,0.9657142857142856,0.9657142857142856,2.220446049250313e-16,0.965714285714286,2.220446049250313e-16,0.3247711752740714,0.3247711752740714,0.3247711752740714,0.0
