dataset,metric,outlier_method,norm,ari_mean,ari_min,ari_max,ari_std,acc_mean,acc_min,acc_max,acc_std,silhouette_mean,silhouette_min,silhouette_max,silhouette_std
seeds,correlation,none,minmax,0.4110861581818406,0.4110861581818407,0.4110861581818407,5.551115123125783e-17,0.6333333333333332,0.6333333333333333,0.6333333333333333,1.1102230246251563e-16,0.1200737317989107,0.1200737317989107,0.1200737317989107,0.0
seeds,cosine,zscore,standard,0.6849085016451086,0.6753177613190047,0.6859268809698674,0.0026484798222347,0.8794711538461537,0.875,0.8798076923076923,0.0012266683482858,0.3973546301028254,0.3952005415592615,0.398078627056102,0.0008223180910734
seeds,euclidean,zscore,standard,0.7786515867769732,0.7565413275221635,0.8093867307205523,0.0104228064263671,0.92125,0.9134615384615384,0.9326923076923076,0.0039516774207759,0.4055474066568039,0.4037982366035469,0.4078835088995659,0.0018649148143806
seeds,hamming,none,standard,0.0002833203844755,-0.0002276413699364,0.0019700096188734,0.0003639224405028,0.3492380952380953,0.3380952380952381,0.3619047619047619,0.0049587870655027,-0.2182007296715968,-0.4223535407855185,0.1706132027292991,0.1353115398320152
seeds,manhattan,zscore,robust,0.7221064753047487,0.7017442231729901,0.7466564169943136,0.020630897394456,0.898125,0.8894230769230769,0.908653846153846,0.0088308552913925,0.3809506455247303,0.3771239325352075,0.385881016546652,0.0040196228809863
seeds,minkowski,none,standard,0.7579893891746318,0.3966856499404593,0.7730246875577171,0.0367319520641785,0.9116190476190476,0.6666666666666666,0.919047619047619,0.0247373504631459,0.4043400668015317,0.3311179988769966,0.4055422827798171,0.0073683297713417
vertebral,chebyshev,iqr,none,0.4111624734517556,0.4096706760821799,0.4156378655604827,0.0025838688387027,0.7526881720430108,0.7526881720430108,0.7526881720430108,0.0,0.3667111738156566,0.3658564735153217,0.3692752747166611,0.0014803843454243
vertebral,correlation,iqr,standard,0.3505913161236966,0.3435736362765511,0.3538311329669477,0.003265469208157,0.67921146953405,0.6738351254480287,0.6845878136200717,0.0053041751207701,0.0991053179743437,0.0723311198173661,0.1166836645453091,0.0173066925756237
vertebral,cosine,zscore,minmax,0.377791212535868,0.2764035972079566,0.5239952129639566,0.0734210194235381,0.7070134228187919,0.6442953020134228,0.7885906040268457,0.016258345973443,0.2151812774723777,0.1714604452453381,0.2678107052414012,0.0400792129602532
vertebral,euclidean,zscore,none,0.3370461835929567,0.3197383286810192,0.346270739452659,0.0123060565921676,0.7312751677852348,0.7248322147651006,0.7348993288590604,0.0048322147651006,0.3726794049956079,0.371570837932852,0.3760787654272824,0.0017110669761971
